cohort,cohort size,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
2024-03-18 00:00:00+00:00,9517,9517,4705,3990,4508,4753,4575,3793,4387
2024-03-25 00:00:00+00:00,8853,8853,3952,4423,4584,4445,3773,4208,4026
2024-04-01 00:00:00+00:00,7943,7943,4284,4319,4036,3381,3877,3679,4083
2024-04-08 00:00:00+00:00,9436,9436,5274,4855,4008,4524,4383,4843,4475
2024-04-15 00:00:00+00:00,10116,10116,5378,4306,4887,4712,5220,4735,4479
2024-04-22 00:00:00+00:00,9872,9872,4438,4847,4725,5107,4687,4387,4379
2024-04-29 00:00:00+00:00,8037,8037,4207,3929,4452,4095,3729,3659,3538
2024-05-06 00:00:00+00:00,9506,9506,4827,5089,4681,4374,4272,4130,4668
2024-05-13 00:00:00+00:00,9355,9355,5147,4665,4351,4289,4116,4612,4327
2024-05-20 00:00:00+00:00,10645,10645,5420,4805,4761,4560,5303,4814,4860
2024-05-27 00:00:00+00:00,9636,9636,4689,4557,4336,4886,4502,4622,4596
2024-06-03 00:00:00+00:00,9038,9038,4512,4166,4739,4321,4411,4365,4237
2024-06-10 00:00:00+00:00,8927,8927,4371,4730,4352,4357,4371,4200,4005
2024-06-17 00:00:00+00:00,8593,8593,4772,4273,4276,4306,4193,3922,4294
2024-06-24 00:00:00+00:00,10435,10435,5186,5150,5061,4852,4487,5014,4499
2024-07-01 00:00:00+00:00,9490,9490,5040,4801,4589,4301,4694,4245,4689
2024-07-08 00:00:00+00:00,10067,10067,5271,4911,4555,4958,4471,4969,5860
2024-07-15 00:00:00+00:00,10285,10285,5275,4765,5107,4636,5092,6079,5333
2024-07-22 00:00:00+00:00,10010,10010,4924,5159,4600,5090,6089,5397,5282
2024-07-29 00:00:00+00:00,9233,9233,5155,4416,4839,5654,4945,4921,5180
2024-08-05 00:00:00+00:00,10314,10314,5277,5572,6618,5806,5658,6015,6179
2024-08-12 00:00:00+00:00,9346,9346,5292,6106,5407,5224,5574,5774,5118
2024-08-19 00:00:00+00:00,10931,10931,7091,6156,6047,6427,6640,5811,5473
2024-08-26 00:00:00+00:00,14016,14016,7783,7518,8179,8388,7262,6684,6462
2024-09-02 00:00:00+00:00,12144,12144,7084,7317,7512,6595,6155,5864,6142
2024-09-09 00:00:00+00:00,12021,12021,7715,7669,6729,6204,5955,6199,6170
2024-09-16 00:00:00+00:00,13815,13815,9042,7680,6963,6611,6876,6952,8072
2024-09-23 00:00:00+00:00,14564,14564,8272,7237,6967,7161,7215,8470,7641
2024-09-30 00:00:00+00:00,12995,12995,7092,6602,6794,6766,7764,6960,7270
2024-10-07 00:00:00+00:00,12219,12219,6668,6599,6589,7275,6577,6866,6565
2024-10-14 00:00:00+00:00,11992,11992,6747,6480,7142,6510,6797,6502,6647
2024-10-21 00:00:00+00:00,12986,12986,7143,7574,6954,7179,6839,7040,6711
2024-10-28 00:00:00+00:00,12813,12813,7962,7185,7353,7051,7080,6858,6262
2024-11-04 00:00:00+00:00,14953,14953,8552,8638,8123,8268,7916,7213,5686
2024-11-11 00:00:00+00:00,13724,13724,8357,7694,7830,7386,6740,5309,6435
2024-11-18 00:00:00+00:00,14501,14501,8381,8318,7747,7265,5617,6801,7239
2024-11-25 00:00:00+00:00,13809,13809,8339,7736,7100,5534,6720,7050,6929
2024-12-02 00:00:00+00:00,14684,14684,8313,7500,5774,6971,7287,7268,7297
2024-12-09 00:00:00+00:00,13742,13742,7470,5745,6828,7158,7060,7067,8136
2024-12-16 00:00:00+00:00,12549,12549,5556,6479,6774,6616,6580,7601,7131
2024-12-23 00:00:00+00:00,9486,9486,5514,5544,5403,5288,6019,5679,5479
2024-12-30 00:00:00+00:00,11912,11912,6870,6557,6520,7427,6934,6731,7120
2025-01-06 00:00:00+00:00,13042,13042,7387,7138,8091,7537,7271,7690,8113
2025-01-13 00:00:00+00:00,13337,13337,7599,8341,7669,7425,7811,8306,7067
2025-01-20 00:00:00+00:00,13756,13756,8790,7954,7637,8037,8525,7246,6924
2025-01-27 00:00:00+00:00,16367,16367,9580,9040,9536,10338,8514,8192,7847
2025-02-03 00:00:00+00:00,15739,15739,8978,9131,9722,8156,7850,7499,7597
2025-02-10 00:00:00+00:00,14971,14971,9300,9621,8055,7788,7433,7556,7522
2025-02-17 00:00:00+00:00,16562,16562,10890,8962,8403,8155,8219,8113,8006
2025-02-24 00:00:00+00:00,18623,18623,9967,9281,8848,8943,8894,8761,8327
2025-03-03 00:00:00+00:00,15217,15217,8497,7926,7981,7867,7731,7293,6671
2025-03-10 00:00:00+00:00,14832,14832,8181,7930,7775,7681,7303,6581,6731
2025-03-17 00:00:00+00:00,14673,14673,8212,7811,7603,7230,6519,6604,6562
2025-03-24 00:00:00+00:00,14649,14649,8159,7807,7383,6774,6783,6749,6778
2025-03-31 00:00:00+00:00,14530,14530,8231,7570,6797,6902,6802,6764,6913
2025-04-07 00:00:00+00:00,14436,14436,7822,6951,6969,6966,6823,6948,6775
2025-04-14 00:00:00+00:00,13655,13655,6932,6893,6753,6682,6742,6585,7252
2025-04-21 00:00:00+00:00,12385,12385,6523,6297,6362,6319,6126,6593,6213
2025-04-28 00:00:00+00:00,12788,12788,6691,6466,6534,6277,6928,6393,5847
2025-05-05 00:00:00+00:00,12939,12939,6778,6597,6451,6902,6482,5959,6018
2025-05-12 00:00:00+00:00,12899,12899,6958,6623,7015,6642,6024,6115,6342
2025-05-19 00:00:00+00:00,13676,13676,7078,7475,6922,6282,6342,6628,6646
2025-05-26 00:00:00+00:00,13425,13425,7633,6999,6270,6326,6543,6655,6501
2025-06-02 00:00:00+00:00,15430,15430,8078,7068,7147,7357,7456,7325,6766
2025-06-09 00:00:00+00:00,14330,14330,7097,6891,7044,7094,6932,6509,6476
2025-06-16 00:00:00+00:00,13291,13291,6867,6700,6651,6518,6136,6010,6059
2025-06-23 00:00:00+00:00,13335,13335,7194,6957,6747,6295,6248,6271,5455
2025-06-30 00:00:00+00:00,13953,13953,7696,7302,6743,6679,6654,5829,6190
2025-07-07 00:00:00+00:00,14362,14362,7865,7084,6923,6939,6005,6371,7246
2025-07-14 00:00:00+00:00,14518,14518,7494,7068,7111,6126,6434,7310,6911
2025-07-21 00:00:00+00:00,13568,13568,7150,6825,5997,6346,6957,6639,6401
2025-07-28 00:00:00+00:00,13284,13284,7205,6100,6415,7119,6704,6542,6785
2025-08-04 00:00:00+00:00,13416,13416,6595,6609,7336,6867,6753,7103,7421
2025-08-11 00:00:00+00:00,11660,11660,6335,6612,6290,6102,6266,6487,6610
2025-08-18 00:00:00+00:00,12606,12606,7632,7014,6603,6936,7143,7175,6553
2025-08-25 00:00:00+00:00,14734,14734,8365,7817,8167,8575,8514,7718,7548
2025-09-01 00:00:00+00:00,14361,14361,8196,8216,8524,8416,7554,7476,7316
2025-09-08 00:00:00+00:00,14085,14085,8737,8641,8478,7627,7463,7334,7524
2025-09-15 00:00:00+00:00,15455,15455,9815,9401,8309,8124,7988,8210,9357
2025-09-22 00:00:00+00:00,16536,16536,10382,8889,8706,8492,8775,9983,8942
2025-09-29 00:00:00+00:00,17599,17599,9697,9295,8977,9220,10360,9305,9624
2025-10-06 00:00:00+00:00,16146,16146,9078,8720,8812,9636,8680,9031,9088
2025-10-13 00:00:00+00:00,16226,16226,9034,8929,9723,8711,9026,9047,8486
2025-10-20 00:00:00+00:00,16062,16062,9299,9788,8760,9134,9139,8623,8134
2025-10-27 00:00:00+00:00,16445,16445,10573,9300,9541,9644,8962,8516,7936
2025-11-03 00:00:00+00:00,19019,19019,10921,11025,10975,10167,9721,8957,6953
2025-11-10 00:00:00+00:00,17021,17021,10476,10235,9506,8987,8254,6401,7316
2025-11-17 00:00:00+00:00,17937,17937,11034,10112,9565,8782,6733,7671,8786
2025-11-24 00:00:00+00:00,18666,18666,10805,9923,9191,7031,7900,9064,9299
2025-12-01 00:00:00+00:00,17385,17385,9862,8982,6863,7648,8765,9009,9202
2025-12-08 00:00:00+00:00,16263,16263,8917,6754,7569,8423,8663,8877,9134
2025-12-15 00:00:00+00:00,14935,14935,6768,7201,8126,8324,8417,8578,8920
2025-12-22 00:00:00+00:00,11304,11304,6183,6602,6578,6626,6756,6940,6706
2025-12-29 00:00:00+00:00,12970,12970,7818,7622,7673,7820,8078,7746,6687
2026-01-05 00:00:00+00:00,15597,15597,9378,9158,9354,9668,9120,7875,6746
2026-01-12 00:00:00+00:00,16513,16513,9976,9961,10262,9716,8279,7162,0
2026-01-19 00:00:00+00:00,17345,17345,10759,10843,10198,8609,7412,0,0
2026-01-26 00:00:00+00:00,18443,18443,11831,10802,9069,7845,0,0,0
2026-02-02 00:00:00+00:00,19978,19978,12102,9909,8359,0,0,0,0
2026-02-09 00:00:00+00:00,18792,18792,10069,8404,0,0,0,0,0
2026-02-16 00:00:00+00:00,15798,15798,7785,0,0,0,0,0,0
2026-02-23 00:00:00+00:00,13124,13124,0,0,0,0,0,0,0
