"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"[KL] Webinary klienckie [dołączenie do wydarzenia Facebook]","Żelazo - zmieniamy zasady gry w praktyce [170-2025 Medezin]",OUTCOME_ENGAGEMENT,completed,adset,9713,32979,3.39534644,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",273,399.99,1.46516484,2025-11-18,2025-11-27,2025-01-01,2026-03-17
"Webinary własne [zapis na wydarzenie]","Jak przygotować się do stażu podyplomowego? | 12.07",OUTCOME_LEADS,completed,adset,17724,58447,3.29761905,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",227,399.98,1.76202643,2025-07-03,2025-07-12,2025-01-01,2026-03-17
"Kursy Remedium [dodanie do koszyka/zakup]","Kurs | Problematyka stwierdzania i dokumentacji zgonów | stażyści, lekarze rodzinni, POZ",OUTCOME_SALES,completed,adset,11264,29711,2.63769531,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","AddToCart - Konwersja",4,399.98,99.995,2025-10-20,2025-11-21,2025-01-01,2026-03-17
"Kursy Remedium [dodanie do koszyka/zakup]","Kurs | Podstawy dokumentacji medycznej w POZ | stażyści, lekarze rodzinni, POZ",OUTCOME_SALES,completed,adset,10843,30920,2.85160933,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","AddToCart - Konwersja",8,399.92,49.99,2025-10-19,2025-11-21,2025-01-01,2026-03-17
"Narzędzia/funkcje Remedium [aktywność w narzędziu]","Wyzwanie LEK na Remedium",OUTCOME_SALES,completed,adset,4478,42347,9.45667709,"Kliknięcia z 7 dni",Rozpoczecie_testu,33,399.92,12.11878788,2026-01-09,2026-01-31,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","VOD | Profilaktyka zakażeń RSV | [159-2025 Pfizer]",OUTCOME_SALES,completed,adset,2082,25550,12.27185399,"Kliknięcia z 7 dni",Video_Play,36,379.96,10.55444444,2026-01-27,2026-02-28,2025-01-01,2026-03-17
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","ME | GLP-1 w praktyce klinicznej | [3-2026 Adamed - Cholestil]",OUTCOME_SALES,active,adset,8013,19794,2.47023587,"Kliknięcia z 7 dni",Video_Play,191,379.67,1.98780105,2026-03-03,2026-03-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Wszystko o uchyłkach",OUTCOME_SALES,completed,adset,5939,17751,2.98888702,"Kliknięcia z 7 dni",Video_Play,259,350,1.35135135,2025-12-03,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Niesterydowe leki przeciwzapalne",OUTCOME_SALES,completed,adset,7069,23762,3.36143726,"Kliknięcia z 7 dni",Video_Play,109,350,3.21100917,2025-11-13,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Eozynofilowe zapalenie przełyku",OUTCOME_SALES,completed,adset,6951,17457,2.5114372,"Kliknięcia z 7 dni",Video_Play,182,350,1.92307692,2025-12-03,2026-02-28,2025-01-01,2026-03-17
